Timestamp,24K
2020-01-01T11:48:22+00:00,775.0
2020-01-02T13:46:59+00:00,776.0
2020-01-03T10:09:55+00:00,787.0
2020-01-03T11:29:31+00:00,789.0
2020-01-03T13:29:42+00:00,786.0
2020-01-04T13:39:15+00:00,791.0
2020-01-05T14:44:01+00:00,792.0
2020-01-06T09:29:22+00:00,805.0
2020-01-06T09:50:40+00:00,802.0
2020-01-07 00:00:00,802.0
2020-01-08T09:20:19+00:00,808.0
2020-01-09T11:42:25+00:00,787.0
2020-01-09T16:08:23+00:00,785.0
2020-01-10T09:29:51+00:00,787.0
2020-01-10T12:36:29+00:00,785.0
2020-01-10T13:53:26+00:00,787.0
2020-01-11 00:00:00,787.0
2020-01-12T11:43:52+00:00,790.0
2020-01-13T13:08:40+00:00,785.0
2020-01-14T12:41:16+00:00,780.0
2020-01-14T13:52:13+00:00,780.0
2020-01-15T10:31:58+00:00,780.0
2020-01-16T11:34:06+00:00,782.0
2020-01-16T15:04:01+00:00,780.0
2020-01-17T10:38:31+00:00,780.0
2020-01-17T13:53:33+00:00,783.0
2020-01-18T12:06:05+00:00,780.0
2020-01-19 00:00:00,780.0
2020-01-20T13:40:09+00:00,780.0
2020-01-21T14:33:57+00:00,780.0
2020-01-22T13:46:14+00:00,782.0
2020-01-23T12:33:44+00:00,782.0
2020-01-24T12:32:56+00:00,782.0
2020-01-24T14:44:21+00:00,783.0
2020-01-24T15:52:15+00:00,787.0
2020-01-25T13:31:52+00:00,787.0
2020-01-26 00:00:00,787.0
2020-01-27 00:00:00,787.0
2020-01-28 00:00:00,787.0
2020-01-29T10:08:05+00:00,790.0
2020-01-29T17:44:19+00:00,789.0
2020-01-30T11:54:34+00:00,793.0
2020-01-30T13:39:23+00:00,792.0
2020-01-30T15:43:35+00:00,793.0
2020-01-30T21:05:33+00:00,792.0
2020-01-31T11:58:07+00:00,792.0
2020-01-31T16:28:39+00:00,796.0
2020-02-01T12:33:57+00:00,798.0
2020-02-02 00:00:00,798.0
2020-02-03T16:43:20+00:00,793.0
2020-02-04T12:25:55+00:00,791.0
2020-02-04T14:31:27+00:00,787.0
2020-02-04T15:19:14+00:00,785.0
2020-02-04T15:57:44+00:00,784.0
2020-02-04T18:28:38+00:00,783.0
2020-02-05T13:43:15+00:00,780.0
2020-02-05T15:32:06+00:00,780.0
2020-02-05T18:26:39+00:00,782.0
2020-02-06T13:41:10+00:00,783.0
2020-02-07T11:27:36+00:00,783.0
2020-02-08T13:48:24+00:00,784.0
2020-02-09 00:00:00,784.0
2020-02-10T12:59:56+00:00,785.0
2020-02-11T13:52:44+00:00,784.0
2020-02-12 00:00:00,784.0
2020-02-13T11:54:59+00:00,785.0
2020-02-13T16:03:02+00:00,783.0
2020-02-14 00:00:00,783.0
2020-02-15 00:00:00,783.0
2020-02-16T13:15:01+00:00,786.0
2020-02-17T22:39:16+00:00,785.0
2020-02-18T12:27:04+00:00,787.0
2020-02-18T15:51:15+00:00,792.0
2020-02-18T16:26:55+00:00,794.0
2020-02-19T11:54:30+00:00,797.0
2020-02-19T13:04:29+00:00,796.0
2020-02-20T12:26:14+00:00,799.0
2020-02-20T16:13:18+00:00,799.0
2020-02-21T10:07:06+00:00,804.0
2020-02-21T13:08:16+00:00,805.0
2020-02-21T14:04:42+00:00,808.0
2020-02-22T12:14:54+00:00,809.0
2020-02-23 00:00:00,809.0
2020-02-24T10:58:42+00:00,830.0
2020-02-24T13:20:18+00:00,827.0
2020-02-24T15:37:27+00:00,827.0
2020-02-25T10:56:32+00:00,817.0
2020-02-25T12:37:59+00:00,815.0
2020-02-25T15:17:48+00:00,815.0
2020-02-25T15:51:29+00:00,815.0
2020-02-26T09:55:33+00:00,817.0
2020-02-26T14:06:31+00:00,814.0
2020-02-27T12:24:14+00:00,818.0
2020-02-27T13:24:58+00:00,820.0
2020-02-27T15:47:45+00:00,823.0
2020-02-27T16:26:52+00:00,819.0
2020-02-28T12:48:44+00:00,811.0
2020-02-28T15:31:03+00:00,805.0
2020-02-28T15:39:12+00:00,800.0
2020-02-28T16:11:35+00:00,794.0
2020-02-28T18:39:05+00:00,786.0
2020-02-28T20:35:20+00:00,791.0
2020-02-29T10:40:35+00:00,791.0
2020-03-01 00:00:00,791.0
2020-03-02T10:21:37+00:00,804.0
2020-03-02T12:07:26+00:00,803.0
2020-03-02T12:50:44+00:00,801.0
2020-03-02T13:22:02+00:00,802.0
2020-03-02T14:50:59+00:00,801.0
2020-03-02T16:49:50+00:00,798.0
2020-03-02T18:03:53+00:00,799.0
2020-03-03T10:04:36+00:00,797.0
2020-03-03T12:19:26+00:00,800.0
2020-03-03T15:12:16+00:00,807.0
2020-03-03T15:23:07+00:00,811.0
2020-03-03T15:48:37+00:00,817.0
2020-03-03T17:40:24+00:00,820.0
2020-03-03T19:59:17+00:00,811.0
2020-03-03T20:08:10+00:00,815.0
2020-03-04T10:22:04+00:00,817.0
2020-03-04T11:53:35+00:00,818.0
2020-03-04T12:35:54+00:00,820.0
2020-03-04T15:47:47+00:00,817.0
2020-03-05T12:57:03+00:00,819.0
2020-03-05T14:46:19+00:00,822.0
2020-03-05T16:26:31+00:00,823.0
2020-03-05T18:19:18+00:00,825.0
2020-03-05T20:09:59+00:00,824.0
2020-03-06T10:18:31+00:00,833.0
2020-03-07T10:36:22+00:00,824.0
2020-03-08 00:00:00,824.0
2020-03-09T13:17:50+00:00,839.0
2020-03-09T15:33:09+00:00,834.0
2020-03-09T16:03:47+00:00,832.0
2020-03-09T17:13:48+00:00,836.0
2020-03-09T19:07:13+00:00,834.0
2020-03-10T11:56:21+00:00,833.0
2020-03-10T14:04:19+00:00,831.0
2020-03-11T11:16:01+00:00,833.0
2020-03-11T12:18:28+00:00,834.0
2020-03-11T12:20:05+00:00,835.0
2020-03-11T12:26:07+00:00,834.0
2020-03-11T12:48:50+00:00,833.0
2020-03-11T14:50:23+00:00,831.0
2020-03-11T15:09:54+00:00,830.0
2020-03-12T15:51:17+00:00,794.0
2020-03-13 00:00:00,794.0
2020-03-14T10:07:23+00:00,780.0
2020-03-14T13:59:08+00:00,782.0
2020-03-15T10:44:53+00:00,783.0
2020-03-15T17:28:14+00:00,786.0
2020-03-15T22:12:53+00:00,802.0
